symbol,date,1. open,2. high,3. low,4. close,5. volume
BKNG,2023-07-28,2906.38,3016.23,2871.01,3012.25,1080378
BKNG,2023-07-21,2857.23,2998.0,2857.23,2923.24,1815527
BKNG,2023-07-14,2637.0,2867.76,2637.0,2866.92,1536152
BKNG,2023-07-07,2693.7,2743.07,2624.495,2636.91,1034393
BKNG,2023-06-30,2613.98,2722.885,2605.0,2700.33,1387068
BKNG,2023-06-23,2620.0,2682.18,2613.97,2623.93,1087255
BKNG,2023-06-16,2626.23,2702.21,2579.365,2640.99,2046436
BKNG,2023-06-09,2617.38,2729.27,2604.0,2606.13,1498632
BKNG,2023-06-02,2595.22,2634.48,2456.93,2625.65,1948685
BKNG,2023-05-26,2764.33,2786.185,2571.1301,2591.13,1688345
BKNG,2023-05-19,2626.99,2786.85,2620.95,2765.26,1389303
BKNG,2023-05-12,2573.12,2679.73,2573.12,2630.82,1529205
BKNG,2023-05-05,2680.32,2731.75,2524.345,2569.3,2219960
BKNG,2023-04-28,2697.75,2706.9999,2577.31,2686.31,1556928
BKNG,2023-04-21,2631.97,2721.8499,2631.97,2687.33,1076972
BKNG,2023-04-14,2565.06,2657.98,2534.52,2649.86,1238843
BKNG,2023-04-06,2644.79,2677.18,2552.0,2583.85,1017344
BKNG,2023-03-31,2525.0,2660.86,2504.48,2652.41,1350466
BKNG,2023-03-24,2450.53,2615.63,2438.13,2499.33,1560721
BKNG,2023-03-17,2459.85,2513.36,2383.18,2440.85,2359304
BKNG,2023-03-10,2574.66,2630.0,2461.47,2480.49,1666978
BKNG,2023-03-03,2480.39,2628.25,2475.12,2620.4,1780103
BKNG,2023-02-24,2415.06,2489.21,2382.545,2452.48,1374496
BKNG,2023-02-17,2376.94,2537.0,2366.5928,2462.01,1460532
BKNG,2023-02-10,2429.81,2490.7,2331.23,2348.37,1941580
BKNG,2023-02-03,2433.95,2484.79,2390.15,2455.07,1700096
BKNG,2023-01-27,2340.0,2474.595,2289.69,2464.51,1419631
BKNG,2023-01-20,2297.91,2374.72,2268.365,2344.29,1239104
BKNG,2023-01-13,2195.0,2302.0127,2179.325,2301.34,1361093
BKNG,2023-01-06,2038.83,2191.2,2005.57,2179.25,1361606
BKNG,2022-12-30,1977.88,2030.0,1955.35,2015.28,875720
BKNG,2022-12-23,1952.06,1997.49,1907.38,1971.52,1185504
BKNG,2022-12-16,2020.04,2152.37,1928.01,1938.55,2305681
BKNG,2022-12-09,2056.07,2086.88,1940.2599,2019.98,1513389
BKNG,2022-12-02,1986.02,2100.635,1978.06,2085.44,1622734
BKNG,2022-11-25,1922.94,2002.0,1899.31,1984.63,1030390
BKNG,2022-11-18,1996.51,2061.96,1902.46,1940.28,1926869
BKNG,2022-11-11,1876.01,2033.38,1797.92,2015.77,2070424
BKNG,2022-11-04,1870.91,1927.0,1771.32,1874.4,2497316
BKNG,2022-10-28,1813.02,1918.05,1764.0,1871.72,1850896
BKNG,2022-10-21,1703.26,1829.3,1701.335,1822.79,1652448
BKNG,2022-10-14,1699.25,1735.86,1616.85,1670.49,1740793
BKNG,2022-10-07,1672.44,1765.53,1626.22,1685.16,2018586
BKNG,2022-09-30,1677.68,1735.99,1641.87,1643.21,2075771
BKNG,2022-09-23,1849.1,1926.45,1646.0434,1669.88,2157474
BKNG,2022-09-16,2010.21,2030.95,1854.39,1876.45,2283768
BKNG,2022-09-09,1837.91,1984.99,1780.09,1981.03,1722769
BKNG,2022-09-02,1897.0,1924.99,1801.91,1837.91,1945129
BKNG,2022-08-26,2018.43,2042.06,1908.0,1910.96,1652288
BKNG,2022-08-19,2102.0,2161.05,2083.92,2086.92,1350102
BKNG,2022-08-12,1922.88,2122.99,1919.295,2120.98,1821775
BKNG,2022-08-05,1923.75,1974.065,1862.99,1924.97,2650386
BKNG,2022-07-29,1818.83,1946.46,1794.75,1935.69,1767054
BKNG,2022-07-22,1744.91,1857.59,1729.1504,1809.88,2013507
BKNG,2022-07-15,1737.66,1762.33,1669.34,1698.59,1985108
BKNG,2022-07-08,1711.53,1807.45,1689.46,1769.48,1480542
BKNG,2022-07-01,1939.91,1954.0,1703.05,1767.98,2169815
BKNG,2022-06-24,1949.58,1953.87,1795.01,1931.05,2153231
